danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,duration_ms,time_signature,tempo_confidence,time_signature_confidence,key_confidence,mode_confidence
0.678,0.484,5,-5.795,1,0.0361,0.529,2.01e-05,0.0766,0.493,82.004,audio_features,7795WJLVKJoAyVoOtCWqXN,239317,4,0.657,0.936,0.491,0.524
0.73,0.735,1,-5.451,1,0.0923,0.0176,0.000189,0.089,0.541,121.985,audio_features,1DunhgeZSEgWiIYbHqXl0c,255867,4,0.134,1.0,0.339,0.417
0.587,0.924,11,-5.433,0,0.0457,0.0311,0.0171,0.23,0.509,140.009,audio_features,22dUzMFttcR3uU17NcOAIv,179162,4,0.732,1.0,0.621,0.634
0.741,0.52,8,-7.513,1,0.0656,0.447,1.97e-06,0.222,0.347,102.998,audio_features,3xgT3xIlFGqZjYW9QlhJWp,171030,4,0.825,0.815,0.068,0.378
0.584,0.408,1,-7.356,0,0.0461,0.476,0.0,0.18,0.333,115.129,audio_features,7t3Xdbufg7q2onVsR8RBdY,246735,4,0.398,0.976,0.411,0.703
0.657,0.628,7,-6.627,0,0.0379,0.348,2.01e-05,0.124,0.483,99.924,audio_features,2TeLIzFBe3hxkPR5FIQZut,167066,4,0.524,0.902,0.269,0.555
0.772,0.65,6,-5.202,0,0.0306,0.107,1.13e-06,0.0905,0.262,125.082,audio_features,36pLU2ywVeBKEF0rrKtmCB,222200,4,0.639,1.0,0.378,0.532
0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,172798,4,0.47,1.0,0.548,0.62
0.717,0.704,1,-5.04,1,0.0695,0.57,1.12e-06,0.0956,0.717,131.997,audio_features,7EWtB4NKYY3NqBl31PVip9,141064,3,0.57,1.0,0.635,0.583
0.72,0.88,9,-2.834,1,0.101,0.0562,0.06,0.153,0.463,180.011,audio_features,05WVKTdZhlIMX4qqMLuo0f,197333,4,0.159,1.0,0.158,0.304
0.812,0.479,2,-5.678,0,0.333,0.213,1.21e-06,0.0756,0.559,169.922,audio_features,2UW7JaomAMuX9pZrjVpHAU,234353,4,0.37,1.0,0.458,0.507
0.737,0.726,3,-7.29,0,0.0538,0.689,0.0,0.169,0.889,127.926,audio_features,1uxiaf3DUS4vpOqNGu4MzL,262883,3,0.848,0.981,0.304,0.263
0.646,0.736,5,-7.118,0,0.0449,0.216,0.0,0.415,0.873,140.098,audio_features,7mXuWTczZNxG5EDcjFEuJR,212878,3,0.888,0.455,0.521,0.543
0.668,0.758,5,-5.176,0,0.0332,0.483,1.89e-05,0.0837,0.834,147.989,audio_features,3qQbCzHBycnDpGskqOWY0E,165671,3,0.524,1.0,0.457,0.469
0.695,0.592,5,-5.34,0,0.032,0.00449,0.000663,0.185,0.482,108.001,audio_features,6XaJfhwof7qIgbbXO5tIQI,260371,4,0.827,1.0,0.35,0.493
0.639,0.676,5,-7.376,0,0.11,0.296,0.00059,0.18,0.852,179.971,audio_features,4Nf5EZ40JenjMUKXOiyRU5,190680,3,0.103,0.909,0.752,0.774
0.561,0.643,0,-7.118,1,0.054,0.232,8.45e-06,0.0986,0.842,143.907,audio_features,1haJsMtoBhHfvuM7XWuT3W,187226,3,0.035,0.608,0.0,0.168
0.569,0.882,3,-2.777,0,0.06,0.0316,0.0,0.142,0.201,148.038,audio_features,42VsgItocQwOQC3XWZ8JNA,191701,4,0.497,1.0,0.601,0.286
0.594,0.811,1,-5.746,1,0.159,0.189,0.0,0.339,0.311,148.144,audio_features,22UmqSLFADtxHCcZ67RzKp,264324,4,0.272,1.0,0.835,0.682
0.64,0.552,2,-5.679,1,0.129,0.0215,0.0,0.119,0.112,144.941,audio_features,28drn6tQo95MRvO0jQEo5C,228267,4,0.238,0.914,0.48,0.163
0.854,0.674,1,-6.23,1,0.184,0.0517,8.53e-05,0.509,0.848,99.022,audio_features,6WzRpISELf3YglGAh7TXcG,215467,4,0.778,1.0,0.423,0.506
0.618,0.793,5,-5.794,1,0.0506,0.0103,0.00463,0.235,0.198,75.524,audio_features,2H2ytI7ompfNmRkI2sq8Uk,174880,4,0.003,0.77,0.671,0.559
0.785,0.903,2,-4.184,1,0.21,0.258,0.0,0.169,0.565,139.98,audio_features,29TPjc8wxfz4XMn21O7VsZ,193234,4,0.829,1.0,0.102,0.406
0.791,0.582,11,-7.323,0,0.286,0.0114,0.0,0.35,0.443,162.991,audio_features,1e1JKLEDKP7hEQzJfNAgPl,181812,4,0.304,1.0,0.551,0.529
0.717,0.79,11,-4.213,1,0.2,0.33,0.000125,0.518,0.371,125.985,audio_features,3yk7PJnryiJ8mAPqsrujzf,168784,4,0.75,1.0,0.615,0.569
0.684,0.693,4,-6.651,0,0.0339,0.00534,0.0,0.506,0.108,134.988,audio_features,1BpKJw4RZxaFB88NE5uxXf,135122,4,0.852,1.0,0.709,0.564
0.581,0.877,8,-4.938,1,0.114,0.0151,0.0,0.826,0.353,77.006,audio_features,5n4FTCMefvyKUjeWumdaWv,236883,4,0.247,1.0,0.485,0.565
0.841,0.738,7,-7.455,0,0.307,0.52,0.0,0.0892,0.484,169.918,audio_features,5RqSsdzTNPX1uzkmlHCFvK,172798,4,0.47,1.0,0.548,0.62
0.912,0.7,6,-3.331,0,0.068,0.163,0.0,0.174,0.535,106.981,audio_features,505v13epFXodT9fVAJ6h8k,170480,4,0.736,1.0,0.262,0.419
0.634,0.725,5,-4.945,0,0.0587,0.0776,0.0,0.211,0.795,159.845,audio_features,54zcJnb3tp9c5OVKREZ1Is,154375,4,0.534,1.0,0.387,0.444
0.85,0.562,5,-7.863,1,0.0724,0.169,3.23e-06,0.104,0.293,122.029,audio_features,4UkUxO2WlKLc0Q1iEutGGh,192787,4,0.553,1.0,0.566,0.146
0.587,0.647,4,-3.385,0,0.327,0.619,0.0,0.106,0.686,90.123,audio_features,0DWdj2oZMBFSzRsi2Cvfzf,197933,4,0.048,1.0,0.603,0.462
0.863,0.502,1,-7.912,1,0.0496,0.61,0.00765,0.11,0.567,111.029,audio_features,3HqcNJdZ2seoGxhn0wVNDK,207627,4,0.851,1.0,0.115,0.413
0.836,0.703,4,-3.554,0,0.0657,0.0845,0.0,0.138,0.902,94.048,audio_features,7FlQk2gJ6TBrHHiidvdR2O,226093,4,0.119,0.98,0.729,0.596
0.564,0.477,0,-6.786,1,0.388,0.852,0.0,0.142,0.57,80.891,audio_features,6otePxalBK8AVa20xhZYVQ,164387,4,0.176,0.995,0.709,0.635
0.796,0.806,1,-3.441,0,0.321,0.332,0.0,0.104,0.56,178.007,audio_features,4NoOME4Dhf4xgxbHDT7VGe,200120,4,0.569,1.0,0.402,0.384
0.843,0.728,2,-4.207,0,0.0552,0.202,0.000219,0.313,0.581,106.015,audio_features,4gJfPoMIcSDGY0tMGxm6Fu,143790,4,0.86,1.0,0.331,0.397
0.587,0.82,0,-5.319,1,0.0668,0.0011,7.36e-06,0.131,0.578,127.976,audio_features,2S5NuP68ckFRvC0qMd7dVR,226613,4,0.749,0.972,0.379,0.401
0.747,0.716,11,-2.457,0,0.0751,0.135,0.0,0.251,0.751,125.006,audio_features,1oHNvJVbFkexQc0BpQp7Y4,210627,4,0.813,1.0,0.284,0.59
0.723,0.86,11,-4.357,1,0.203,0.271,4.56e-06,0.598,0.667,126.979,audio_features,3hlksXnvbKogFdPbpO9vel,200013,4,0.35,1.0,0.625,0.5
0.706,0.786,0,-3.417,0,0.091,0.26,0.0,0.38,0.751,150.028,audio_features,0puf9yIluy9W0vpMEUoAnN,199387,4,0.334,0.497,0.544,0.398
0.93,0.435,11,-6.694,1,0.202,0.0173,0.000287,0.117,0.227,144.978,audio_features,1a73gcEg6h6Re6hHXoVltJ,172138,4,0.674,0.443,0.489,0.395
0.77,0.58,0,-8.393,1,0.247,0.519,0.000127,0.233,0.753,144.072,audio_features,741UUVE2kuITl0c6zuqqbO,109750,4,0.05,1.0,0.558,0.46
0.799,0.701,2,-3.272,1,0.282,0.309,7.36e-05,0.0514,0.607,100.946,audio_features,0dKg2vGC1hFqcK5LGTaKzX,201920,4,0.373,1.0,0.62,0.876
0.737,0.774,11,-5.525,0,0.257,0.0262,0.0,0.238,0.428,137.959,audio_features,5ZJGv7aGdIr9IGpxzSG18T,180870,4,0.633,1.0,0.614,0.569
0.951,0.878,2,-2.565,1,0.211,0.0509,1.61e-05,0.321,0.923,133.014,audio_features,2yjlYDiNiQkdxVqTlaSrlX,170977,4,0.44,1.0,0.702,0.664
0.655,0.692,1,-6.145,0,0.0563,0.00209,0.00286,0.128,0.694,128.008,audio_features,3idU3rXoFCEFhAAbPGbwht,227560,4,0.609,1.0,0.447,0.508
0.599,0.946,11,-4.263,1,0.0447,0.000938,0.0106,0.0826,0.747,151.647,audio_features,2GxrNKugF82CnoRFbQfzPf,142515,4,0.784,1.0,0.487,0.485
0.535,0.622,8,-5.771,1,0.0593,0.541,0.0209,0.402,0.457,143.533,audio_features,1ACA277B6f46DYCgZW8di3,128206,4,0.168,0.982,0.061,0.363
0.807,0.462,8,-10.756,1,0.201,0.0762,0.000718,0.205,0.229,132.408,audio_features,1GnTBbaFtxNkHEjUsWEdNu,146216,4,0.787,0.99,0.341,0.482
0.412,0.67,4,-3.959,1,0.0289,0.772,0.00108,0.242,0.395,134.024,audio_features,5NQw9mvEfBYOEmfl0A2A0i,119104,4,0.19,0.135,0.256,0.397
0.67,0.94,1,-3.379,1,0.0576,0.025,0.284,0.345,0.661,133.188,audio_features,7FKLbfLP8JK1MXKRrYx4Kd,162406,4,0.656,1.0,0.574,0.531
0.656,0.876,11,-5.973,1,0.0449,0.00352,0.462,0.235,0.2,154.989,audio_features,7skteOnDbwZ3ZvjSe99xv2,137987,4,0.214,1.0,0.491,0.659
0.421,0.838,2,-6.585,1,0.0427,0.00112,0.00559,0.271,0.243,172.047,audio_features,2rYXXYRrP3qOOPkUsUTsal,114419,4,0.322,1.0,0.659,0.495
0.262,0.729,6,-5.729,0,0.0566,0.346,0.00514,0.32,0.179,157.388,audio_features,7sxz7iukZOZQI8gojX3tKH,170152,4,0.178,1.0,0.201,0.435
0.489,0.403,2,-9.131,0,0.0333,0.563,0.0097,0.103,0.27,131.377,audio_features,79BvfNXgpx5GyUkNcmX3CB,148054,4,0.262,1.0,0.555,0.585
